DATE,BATCH,BLOCK,WT,PLANT/ETC,REMARKS,BLOCK LOC,AVG PRICE,AVG WTD VALUE
45953,OCTOBER,AUG-25-TNK2,18104,MAIN,,D-4D,46,832784
45953,OCTOBER,NOV-23-BLK1,18145,MAIN,,C-19B,17.42,316085.9
45953,OCTOBER,OCT-25-FEED5,9280,MAIN,CLOSED,,44.75,415280
,,,,,,,,
,,,,,,,,
45976,NOVEMBER,AUG-25-TNK2,13027,MAIN,CLOSED,D-4D,46,599242
45976,NOVEMBER,NOV-23-BLK1,7273,MAIN,CLOSED,C-19B,17.42,126695.66
45976,NOVEMBER,DEC-23-BLK2,21680,MAIN,,C-19A,16.77,363573.6
45976,NOVEMBER,OCT-25-BLK28,3962,MAIN,,D-18A,42.49784484,168376.4613
45976,NOVEMBER,NOV-25-BLK1,2612,MAIN,,C-9A,46,120152
,,,,,,,,
45978,NOVEMBER,DEC-23-BLK2,13010,MAIN,,C-19A,16.77,218177.7
45978,NOVEMBER,OCT-25-BLK28,15557,MAIN,,D-18A,42.49784484,661138.9722
45978,NOVEMBER,NOV-25-BLK1,7705,MAIN,,C-9A,46,354430
,,,,,,,,
